Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
45,AB4EY,145.170000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,Saint Augustine AB4EY [FM] mi 205,,,,
46,KX4EOC,145.210000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Saint Augustine KX4EOC [FM] mi 205,,,,
47,KF4MX,146.625000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Saint Augustine KF4MX [FM] mi 205,,,,
48,WX1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather Radio,,,,
49,WX2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather Radio,,,,
50,WX3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather Radio,,,,
51,WX4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather Radio,,,,
52,WX5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather Radio,,,,
53,WX6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather Radio,,,,
54,WX7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,NOAA Weather Radio,,,,
